source,title,link,published_at,asset,sentiment_category,category_score,bullish_score,bearish_score,regulatory_score,security_score,confidence,market_impact,bullish_matches,bearish_matches,regulatory_matches,security_matches,classification_reason,source_weight,recency_weight,confidence_weight,weighted_news_score,directional_news_score
ambcrypto,PUMP’s price at risk of 15% drop if THIS pattern breaks down – Details,https://ambcrypto.com/pumps-price-at-risk-of-15-drop-if-this-pattern-breaks-down-details/,2026-03-15 00:00:32+00:00,MARKET,Bearish,2,0,2,0,0,Medium,Negative,,drop,,,Bearish has the highest score with a clear margin.,0.9,1.2,0.75,1.62,-1.62
newsbtc,"Bitcoin Probes $73,000 Liquidity Pocket: Is The Next Leg Toward $80,000 Loading?",https://www.newsbtc.com/news/bitcoin/bitcoin-probes-liquidity-pocket/,2026-03-15 00:00:11+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.2,0.5,0.0,0.0
ambcrypto,"Bitcoin Cash holds $440 support, but BCH bears still dominate – Why?",https://ambcrypto.com/bitcoin-cash-holds-440-support-but-bch-bears-still-dominate-why/,2026-03-14 23:00:27+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.2,0.5,0.0,0.0
newsbtc,Bitcoin Fear & Greed Index At COVID- And LUNA-Crash Low — What’s Next?,https://www.newsbtc.com/news/bitcoin/bitcoin-fear-greed-index-at-covid-and-luna-crash-low-whats-next/,2026-03-14 23:00:18+00:00,BTC-USD,Bearish,7,0,7,0,0,High,Negative,,"crash, fear",,,Bearish has the highest score with a clear margin.,0.9,1.2,1.0,7.56,-7.56
cointelegraph,Here’s what happened in crypto today,https://cointelegraph.com/news/what-happened-in-crypto-today?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 22:04:02+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.2,0.5,0.0,0.0
ambcrypto,Is Ethereum’s $2K range a ‘bear trap’ as ETH staking hits record levels?,https://ambcrypto.com/is-ethereums-2k-range-a-bear-trap-as-eth-staking-hits-record-levels/,2026-03-14 22:00:06+00:00,ETH-USD,Bullish,2,2,0,0,0,Medium,Positive,record,,,,Bullish has the highest score with a clear margin.,0.9,1.2,0.75,1.62,1.62
cointelegraph,Changing Basel rules could unlock 'huge' liquidity for BTC: Analyst,https://cointelegraph.com/news/changing-basel-rules-huge-liquidity-btc?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 21:45:50+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.2,0.5,0.0,0.0
newsbtc,Why The XRP Price Might Crash To $0.87 Before The Bear Market Ends,https://www.newsbtc.com/analysis/xrp/xrp-might-crash-to-0-87/,2026-03-14 21:30:01+00:00,XRP-USD,Bearish,5,0,5,0,0,High,Negative,,crash,,,Bearish has the highest score with a clear margin.,0.9,1.2,1.0,5.4,-5.4
ambcrypto,Solana’s KEY metric flips bullish after 2 months: Can SOL reclaim $93?,https://ambcrypto.com/solanas-key-metric-flips-bullish-after-2-months-can-sol-reclaim-93/,2026-03-14 21:00:04+00:00,SOL-USD,Bullish,4,4,0,0,0,Medium,Positive,bullish,,,,Bullish has the highest score with a clear margin.,0.9,1.2,0.75,3.24,3.24
theblock,Custodia’s five-year fight for a Fed master account effectively ends in 7-3 appeals court loss,https://www.theblock.co/post/393617/custodias-five-year-fight-for-a-fed-master-account-effectively-ends-in-7-3-appeals-court-loss?utm_source=rss&utm_medium=rss,2026-03-14 20:01:33+00:00,MARKET,Neutral,3,0,2,3,0,Low,Negative,,loss,court,,"Top scores are too close: Regulatory=3, Bearish=2.",1.1,1.2,0.5,1.98,-1.98
newsbtc,Solana Key Indicator Flashes First Bullish Signal Since January – Market Rebound Incoming?,https://www.newsbtc.com/news/solana/solana-key-indicator-flashes-first-bullish-signal-since-january-market-rebound-incoming/,2026-03-14 20:00:56+00:00,SOL-USD,Bullish,6,6,0,0,0,High,Positive,"bullish, rebound",,,,Bullish has the highest score with a clear margin.,0.9,1.2,1.0,6.48,6.48
ambcrypto,"Ethereum shorts pile up: Could ETH trigger a squeeze above $2,150?",https://ambcrypto.com/ethereum-shorts-pile-up-could-eth-trigger-a-squeeze-above-2150/,2026-03-14 20:00:35+00:00,ETH-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.2,0.5,0.0,0.0
decrypt,Tom Lee's BitMine Buys $10.2 Million in ETH Directly From Ethereum Foundation,https://decrypt.co/361162/tom-lees-bitmine-buys-10-million-ethereum-foundation,2026-03-14 19:12:58+00:00,ETH-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.2,0.5,0.0,0.0
ambcrypto,Solana: Examining if SOL’s 67% drawdown is an ‘attractive entry point’,https://ambcrypto.com/solana-examining-if-sols-67-drawdown-is-an-attractive-entry-point/,2026-03-14 19:00:25+00:00,SOL-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.2,0.5,0.0,0.0
newsbtc,Strategy’s Bitcoin Bet Now $3.35 Billion In The Red As Saylor Tells Investors To Wait,https://www.newsbtc.com/bitcoin-news/strategys-bitcoin-bet-now-3-35-billion-in-the-red-as-saylor-tells-investors-to-wait/,2026-03-14 18:30:20+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.2,0.5,0.0,0.0
coindesk,Hoskinson might be wrong about the future of decentralized compute,https://www.coindesk.com/opinion/2026/03/14/hoskinson-might-be-wrong-about-the-future-of-decentralized-compute,2026-03-14 18:30:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.2,0.5,0.0,0.0
theblock,"Ethereum Foundation sells 5,000 ETH to Tom Lee’s BitMine in $10 million OTC deal",https://www.theblock.co/post/393614/ethereum-foundation-sells-5000-eth-to-tom-lees-bitmine-in-10-million-otc-deal?utm_source=rss&utm_medium=rss,2026-03-14 18:19:56+00:00,ETH-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
cointelegraph,Former UK Prime Minister Boris Johnson calls Bitcoin a ‘Ponzi scheme’,https://cointelegraph.com/news/boris-johnson-btc-ponzi-scheme?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 18:09:15+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
ambcrypto,Bitcoin tops $72K – But THESE signals raise caution for BTC traders,https://ambcrypto.com/bitcoin-tops-72k-but-these-signals-raise-caution-for-btc-traders/,2026-03-14 18:00:58+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
coindesk,Crypto’s multi-million F1 sponsorship under fire as Middle East war hits region's biggest events,https://www.coindesk.com/business/2026/03/14/crypto-s-multi-million-f1-sponsorship-under-fire-as-middle-east-war-hits-region-s-biggest-events,2026-03-14 18:00:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
coindesk,"Ethereum Foundation sells 5,000 ether to Tom Lee's BitMine in $10.2 million deal",https://www.coindesk.com/business/2026/03/14/ethereum-foundation-sells-5-000-ether-to-tom-lee-s-bitmine-in-usd10-2-million-deal,2026-03-14 17:56:34+00:00,ETH-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
cointelegraph,Bitcoin beats stocks as Strategy's STRC hints at $776M BTC buying potential,https://cointelegraph.com/news/bitcoin-beats-stocks-strategy-strc-776m-btc-buying-potential?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 17:38:08+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
coindesk,Boris Johnson calling Bitcoin a ‘Ponzi’ draws rebuttal from Michael Saylor and others,https://www.coindesk.com/business/2026/03/14/boris-johnson-calling-bitcoin-a-ponzi-draws-rebuttal-from-michael-saylor-and-others,2026-03-14 17:18:37+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
theblock,"SEC dismisses civil fraud case against BitClout, DeSo founder Nader Al-Naji with prejudice",https://www.theblock.co/post/393611/sec-dismisses-civil-fraud-case-against-bitclout-deso-founder-nader-al-naji-with-prejudice?utm_source=rss&utm_medium=rss,2026-03-14 17:00:58+00:00,MARKET,Security,5,0,0,3,5,High,Negative,,,sec,fraud,Security-related keywords strongly dominate the headline.,1.1,1.0,1.0,5.5,-5.5
ambcrypto,AAVE – What’s next after Blockchain Capital’s $24M deposit meets shrinking exchange supply?,https://ambcrypto.com/aave-whats-next-after-blockchain-capitals-24m-deposit-meets-shrinking-exchange-supply/,2026-03-14 17:00:07+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
newsbtc,"Bitcoin’s Base Case: What To Expect Before The Run-Up Above $100,000",https://www.newsbtc.com/news/bitcoin/bitcoins-base-case-scenario/,2026-03-14 17:00:00+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
decrypt,Judge Rejects RICO Claims in Lawsuit Over Pastor-Led Crypto Ponzi Scheme,https://decrypt.co/361084/judge-rejects-rico-claims-in-lawsuit-over-pastor-led-crypto-ponzi-scheme,2026-03-14 16:31:50+00:00,MARKET,Regulatory,5,0,0,5,0,High,Neutral,,,lawsuit,,Regulatory/legal keywords strongly dominate the headline.,1.0,1.0,1.0,5.0,0.0
ambcrypto,Can Solana use USDC beating USDT in ‘Adjusted Transaction Volume’ to outperform Ethereum?,https://ambcrypto.com/can-solana-use-usdc-beating-usdt-in-adjusted-transaction-volume-to-outperform-ethereum/,2026-03-14 16:00:16+00:00,ETH-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
coindesk,"Wall Street pushes tokenized stocks, but institutions aren’t eager to trade them",https://www.coindesk.com/business/2026/03/14/wall-street-pushes-tokenized-stocks-but-institutions-aren-t-eager-to-trade-them,2026-03-14 16:00:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
newsbtc,Bitcoin Market Remains Pessimistic Despite Price Reclaiming $70k,https://www.newsbtc.com/news/bitcoin/bitcoin-market-remains-pessimistic-despite-price-reclaiming-70k/,2026-03-14 15:30:54+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
ambcrypto,"Binance listing fails to stop NIGHT’s downside, but will that change soon?",https://ambcrypto.com/binance-listing-fails-to-stop-nights-downside-but-will-that-change-soon/,2026-03-14 15:00:29+00:00,BNB-USD,Bullish,2,2,0,0,0,Medium,Positive,listing,,,,Bullish has the highest score with a clear margin.,0.9,1.0,0.75,1.35,1.35
coindesk,Brazil industry giants representing 850 companies decry stablecoin tax threat,https://www.coindesk.com/business/2026/03/14/brazil-industry-giants-representing-850-companies-decry-stablecoin-tax-threat,2026-03-14 14:58:14+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
decrypt,Bitcoin Hit a Major Milestone—Most Miners Won't Be Around for the Next One,https://decrypt.co/361137/bitcoin-major-milestone-miners,2026-03-14 14:07:30+00:00,BTC-USD,Bullish,2,2,0,0,0,Medium,Positive,milestone,,,,Bullish has the highest score with a clear margin.,1.0,1.0,0.75,1.5,1.5
ambcrypto,How Hyperliquid’s $1.2B daily volume could reshape oil price discovery,https://ambcrypto.com/how-hyperliquids-1-2b-daily-volume-could-reshape-oil-price-discovery/,2026-03-14 14:00:45+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
newsbtc,XRP Chart History Sparks Speculation Of $8.6 Price Target,https://www.newsbtc.com/analysis/xrp/xrp-chart-history-sparks-speculation-of-8-6-price-target/,2026-03-14 14:00:21+00:00,XRP-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
coindesk,The math behind Strategy’s path to 1 million bitcoin by the end of 2026,https://www.coindesk.com/markets/2026/03/14/the-math-behind-strategy-s-path-to-1-million-bitcoin-by-the-end-of-2026,2026-03-14 14:00:00+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
coindesk,"AI developers may not be keen on crypto, but stablecoins are the secret to agentic finance, crypto insiders say",https://www.coindesk.com/business/2026/03/14/ai-developers-may-not-be-keen-on-crypto-but-stablecoins-are-the-secret-to-agentic-finance-crypto-insiders-say,2026-03-14 14:00:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
cointelegraph,Balaji calls for more ‘crypto tools’ for refugees amid Middle East tensions,https://cointelegraph.com/news/balaji-calls-for-crypto-tools-for-refugees-stateless-people?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 13:05:18+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
ambcrypto,"Will Ethereum’s price target $2,150 liquidity zone after whales’ $75M transfer?",https://ambcrypto.com/will-ethereums-price-target-2150-liquidity-zone-after-whales-move-eth-worth-75m/,2026-03-14 13:00:03+00:00,ETH-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
theblock,IRS crypto reporting rules set stage for confusing tax season: Here’s what you need to know,https://www.theblock.co/post/393574/irs-crypto-reporting-rules-set-stage-for-confusing-tax-season-heres-what-you-need-to-know?utm_source=rss&utm_medium=rss,2026-03-14 12:31:01+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.1,1.0,0.5,0.0,0.0
newsbtc,Dogecoin Price Can Still Cross $1: Historical Cycle Performance Points To 750% Rally,https://www.newsbtc.com/news/dogecoin/dogecoin-price-cross-1/,2026-03-14 12:30:33+00:00,DOGE-USD,Bullish,3,3,0,0,0,Medium,Positive,rally,,,,Bullish has the highest score with a clear margin.,0.9,1.0,0.75,2.025,2.025
cointelegraph,Crypto can fight money laundering without stifling financial freedom,https://cointelegraph.com/news/crypto-can-fight-money-laundering?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 12:30:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
ambcrypto,"Bitcoin – Supply shock next after exchange reserves’ cycle lows, surge in ETF demand?",https://ambcrypto.com/bitcoin-is-a-supply-shock-next-after-exchange-reserves-cycle-lows-surge-in-etf-demand/,2026-03-14 12:00:31+00:00,BTC-USD,Neutral,3,3,0,2,0,Low,Positive,surge,,etf,,"Top scores are too close: Bullish=3, Regulatory=2.",0.9,1.0,0.5,1.35,1.35
newsbtc,"Bitcoin Foundation For A Mid-Term Breakout Remains Thin, Cost Basis Data Shows",https://www.newsbtc.com/bitcoin-news/bitcoin-foundation-mid-term-breakout-cost-basis/,2026-03-14 11:00:10+00:00,BTC-USD,Bullish,3,3,0,0,0,Medium,Positive,breakout,,,,Bullish has the highest score with a clear margin.,0.9,1.0,0.75,2.025,2.025
ambcrypto,FUD meets funding! Why Bitcoin’s immunity against geopolitical risks might be running out,https://ambcrypto.com/fud-meets-funding-why-bitcoins-immunity-against-geopolitical-risks-might-be-running-out/,2026-03-14 11:00:06+00:00,BTC-USD,Bullish,2,2,0,0,0,Medium,Positive,funding,,,,Bullish has the highest score with a clear margin.,0.9,1.0,0.75,1.35,1.35
cointelegraph,USDC market cap nears record $80B amid ‘capital flight’ in UAE: Analyst,https://cointelegraph.com/news/usdc-market-cap-nears-80b-uae-capital-flight-analyst?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 10:43:55+00:00,MARKET,Bullish,2,2,0,0,0,Medium,Positive,record,,,,Bullish has the highest score with a clear margin.,1.0,1.0,0.75,1.5,1.5
cryptonews,Custodia Bank Loses Final Court Appeal Over Federal Reserve Master Account,https://cryptonews.com/news/custodia-bank-loses-final-court-appeal-over-federal-reserve-master-account/,2026-03-14 10:32:00+00:00,MARKET,Regulatory,3,0,0,3,0,Medium,Neutral,,,court,,Regulatory has the highest score with a clear margin.,0.95,1.0,0.75,2.1375,0.0
ambcrypto,"Boris Johnson slams Bitcoin as ‘Ponzi scheme,’ triggers community backlash",https://ambcrypto.com/boris-johnson-slams-bitcoin-as-ponzi-scheme-triggers-community-backlash/,2026-03-14 09:45:41+00:00,BTC-USD,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.9,1.0,0.5,0.0,0.0
cryptonews,Billionaire Says Stablecoins Could Power Global Payments in 10–15 Years,https://cryptonews.com/news/billionaire-says-stablecoins-could-power-global-payments-in-10-15-years/,2026-03-14 09:26:29+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,1.0,0.5,0.0,0.0
ambcrypto,All the reasons why WLFI’s price is ready for a bearish continuation move now,https://ambcrypto.com/all-the-reasons-why-wlfis-price-is-ready-for-a-bearish-continuation-move-now/,2026-03-14 09:00:07+00:00,MARKET,Bearish,4,0,4,0,0,Medium,Negative,,bearish,,,Bearish has the highest score with a clear margin.,0.9,1.0,0.75,2.7,-2.7
cryptonews,TRUMP Memecoin Investors Offered Mar-a-Lago Presidential Meeting,https://cryptonews.com/news/trump-meme-coin-investors-rescheduled-meeting/,2026-03-14 09:00:00+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,0.95,1.0,0.5,0.0,0.0
cointelegraph,Spot Bitcoin ETFs extend inflow streak to five days for first time in 2026,https://cointelegraph.com/news/spot-bitcoin-etfs-five-day-inflow-streak-2026?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 08:11:32+00:00,BTC-USD,Bullish,3,3,0,0,0,Medium,Positive,inflow,,,,Bullish has the highest score with a clear margin.,1.0,1.0,0.75,2.25,2.25
cryptonews,Trump Meme Coin Jumps 60% After Promoters Advertise Mar-a-Lago Gala,https://cryptonews.com/news/trump-meme-coin-jumps-60-after-promoters-advertise-mar-a-lago-gala/,2026-03-14 08:04:54+00:00,MARKET,Bullish,2,2,0,0,0,Medium,Positive,jumps,,,,Bullish has the highest score with a clear margin.,0.95,1.0,0.75,1.425,1.425
coindesk,"Bitcoin holds $71,000 despite Trump warning of strikes on Iran's oil-rich Kharg Island",https://www.coindesk.com/markets/2026/03/14/bitcoin-holds-usd71-000-despite-trump-warning-after-iran-oil-strikes,2026-03-14 06:08:27+00:00,BTC-USD,Bearish,2,0,2,0,0,Medium,Negative,,warning,,,Bearish has the highest score with a clear margin.,1.1,1.0,0.75,1.65,-1.65
cointelegraph,BlackRock says 'exotic' crypto ETFs not part of its strategy,https://cointelegraph.com/news/blackrock-wont-consider-exotic-crypto-etfs?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-14 04:52:48+00:00,MARKET,Neutral,0,0,0,0,0,Low,Neutral,,,,,No category keywords matched the headline.,1.0,1.0,0.5,0.0,0.0
